key	first_author	year	title	journal	doi	pmid_or_official_verification	role_in_manuscript	verification_note
cheng_2026	Cheng	2026	Multi-ancestry genome-wide association analyses of refractive error augment genetic discovery and polygenic prediction	Nature Genetics	10.1038/s41588-026-02576-0	Official Nature Genetics/CrossRef record	Latest multi-ancestry refractive-error GWAS	Use original article DOI; exclude publisher-correction DOI
li_2026	Li	2026	Single-cell atlas of the transcriptome and chromatin accessibility in the human retina	Nature Genetics	10.1038/s41588-025-02454-1	Official Nature Genetics/CrossRef record	Human Retina Cell Atlas and ancestry-associated retinal chromatin accessibility	Use original article DOI; exclude author-correction DOI
bulik_sullivan_ldsc_2015	Bulik-Sullivan	2015	LD Score regression distinguishes confounding from polygenicity in genome-wide association studies	Nature Genetics	10.1038/ng.3211	PMID:25642630	LDSC method	Verified DOI and PMID
bulik_sullivan_genetic_correlations_2015	Bulik-Sullivan	2015	An atlas of genetic correlations across human diseases and traits	Nature Genetics	10.1038/ng.3406	PMID:26414676	Genetic-correlation context	Verified DOI and PMID
finucane_sldsc_2015	Finucane	2015	Partitioning heritability by functional annotation using genome-wide association summary statistics	Nature Genetics	10.1038/ng.3404	PMID:26414678	Stratified LDSC and functional annotation context	Use journal DOI, not preprint DOI
shi_sldxr_2021	Shi	2021	Population-specific causal disease effect sizes in functionally important regions impacted by selection	Nature Communications	10.1038/s41467-021-21286-1	Official Nature Communications/CrossRef record	Cross-population S-LDXR method	Verified DOI
verhoeven_2013	Verhoeven	2013	Genome-wide meta-analyses of multiancestry cohorts identify multiple new susceptibility loci for refractive error and myopia	Nature Genetics	10.1038/ng.2554	PMID:23396134	Foundational multi-ancestry refractive-error GWAS	Verified DOI and PMID
hysi_2020	Hysi	2020	Meta-analysis of 542,934 subjects of European ancestry identifies new genes and mechanisms predisposing to refractive error and myopia	Nature Genetics	10.1038/s41588-020-0599-0	PMID:32231278	Large refractive-error GWAS and biological context	Verified DOI and PMID
kiefer_2013	Kiefer	2013	Genome-wide analysis points to roles for extracellular matrix remodeling, the visual cycle, and neuronal development in myopia	PLOS Genetics	10.1371/journal.pgen.1003299	PMID:23468642	Refractive-error genetics and retinal/ocular biological context	Verified DOI and PMID
wallman_1987	Wallman	1987	Local retinal regions control local eye growth and myopia	Science	10.1126/science.3603011	PMID:3603011	Retinal control of eye growth	Verified through PubMed and Science DOI page
1000g_2015	1000 Genomes Project Consortium	2015	A global reference for human genetic variation	Nature	10.1038/nature15393	PMID:26432245	Reference panels and population-genetic architecture	Verified DOI and PMID
dbsnp_2000	Smigielski	2000	dbSNP: a database of single nucleotide polymorphisms	Nucleic Acids Research	10.1093/nar/28.1.352	PMID:10592272	dbSNP Build reference anchoring	Verified DOI and PMID
khan_topmed_2022	Khan	2022	Recommendations on the use and reporting of race, ethnicity, and ancestry in genetic research: experiences from the NHLBI TOPMed program	Cell Genomics	10.1016/j.xgen.2022.100155	PMID:36119389	Ancestry terminology and reporting	Use Cell Genomics DOI
