key	first_author	year	title	journal	doi	pmid_or_official_verification	role_in_manuscript	verification_note
brown_popcorn_2016	Brown	2016	Transethnic genetic-correlation estimates from summary statistics	American Journal of Human Genetics	10.1016/j.ajhg.2016.05.001	PMID:27321947	Popcorn method and estimand distinction	DOI/PMID known; cite for Popcorn
cheng_2026	Cheng	2026	Multi-ancestry genome-wide association analyses of refractive error augment genetic discovery and polygenic prediction	Nature Genetics	10.1038/s41588-026-02576-0	Official Nature Genetics article page	Latest multi-ancestry refractive-error GWAS and source data	Verified from publisher page
li_2026	Li	2026	Single-cell atlas of the transcriptome and chromatin accessibility in the human retina	Nature Genetics	10.1038/s41588-025-02454-1	Official Nature Genetics/CrossRef record	Human Retina Cell Atlas and ancestry-associated retinal chromatin accessibility	Verified previously
bulik_sullivan_ldsc_2015	Bulik-Sullivan	2015	LD Score regression distinguishes confounding from polygenicity in genome-wide association studies	Nature Genetics	10.1038/ng.3211	PMID:25642630	LDSC method	Verified DOI and PMID
bulik_sullivan_genetic_correlations_2015	Bulik-Sullivan	2015	An atlas of genetic correlations across human diseases and traits	Nature Genetics	10.1038/ng.3406	PMID:26414676	Genetic-correlation context	Verified DOI and PMID
finucane_sldsc_2015	Finucane	2015	Partitioning heritability by functional annotation using genome-wide association summary statistics	Nature Genetics	10.1038/ng.3404	PMID:26414678	Stratified LDSC and functional annotation context	Use journal DOI
shi_sldxr_2021	Shi	2021	Population-specific causal disease effect sizes in functionally important regions impacted by selection	Nature Communications	10.1038/s41467-021-21286-1	PMC:PMC7889654	S-LDXR method and MAF threshold	Verified from PMC and local repo
verhoeven_2013	Verhoeven	2013	Genome-wide meta-analyses of multiancestry cohorts identify multiple new susceptibility loci for refractive error and myopia	Nature Genetics	10.1038/ng.2554	PMID:23396134	Foundational multi-ancestry refractive-error GWAS	Verified DOI and PMID
hysi_2020	Hysi	2020	Meta-analysis of 542,934 subjects of European ancestry identifies new genes and mechanisms predisposing to refractive error and myopia	Nature Genetics	10.1038/s41588-020-0599-0	PMID:32231278	Large refractive-error GWAS and biological context	Verified DOI and PMID
tedja_2018	Tedja	2018	Genome-wide association meta-analysis highlights light-induced signaling as a driver for refractive error	Nature Genetics	10.1038/s41588-018-0127-7	PMID:29808027	Refractive-error genetics and retinal signaling context	DOI/PMID known
kiefer_2013	Kiefer	2013	Genome-wide analysis points to roles for extracellular matrix remodeling, the visual cycle, and neuronal development in myopia	PLOS Genetics	10.1371/journal.pgen.1003299	PMID:23468642	Refractive-error genetics and ocular biology	Verified DOI and PMID
wallman_1987	Wallman	1987	Local retinal regions control local eye growth and myopia	Science	10.1126/science.3603011	PMID:3603011	Retinal control of eye growth	Verified through PubMed and DOI page
martin_2017	Martin	2017	Human demographic history impacts genetic risk prediction across diverse populations	American Journal of Human Genetics	10.1016/j.ajhg.2017.03.004	PMID:28366442	Polygenic portability and demographic context	DOI/PMID known
wojcik_2019	Wojcik	2019	Genetic analyses of diverse populations improves discovery for complex traits	Nature	10.1038/s41586-019-1310-4	PMID:31217584	Cross-ancestry GWAS value and diversity context	DOI/PMID known
duncan_2019	Duncan	2019	Analysis of polygenic risk score usage and performance in diverse human populations	Nature Communications	10.1038/s41467-019-11112-0	PMID:31346163	Polygenic portability across populations	DOI/PMID known
sirugo_2019	Sirugo	2019	The missing diversity in human genetic studies	Cell	10.1016/j.cell.2019.02.048	PMID:30951684	Genetic diversity and representation context	DOI/PMID known
popejoy_2016	Popejoy	2016	Genomics is failing on diversity	Nature	10.1038/538161a	PMID:27734877	Genomics diversity context	DOI/PMID known
mathieson_2020	Mathieson	2020	What is ancestry?	PLOS Genetics	10.1371/journal.pgen.1008624	PMID:32155120	Ancestry terminology	DOI/PMID known
khan_topmed_2022	Khan	2022	Recommendations on the use and reporting of race, ethnicity, and ancestry in genetic research: experiences from the NHLBI TOPMed program	Cell Genomics	10.1016/j.xgen.2022.100155	PMID:36119389	Ancestry terminology and reporting	Use Cell Genomics DOI
1000g_2015	1000 Genomes Project Consortium	2015	A global reference for human genetic variation	Nature	10.1038/nature15393	PMID:26432245	Reference panels and population-genetic architecture	Verified DOI and PMID
dbsnp_2000	Smigielski	2000	dbSNP: a database of single nucleotide polymorphisms	Nucleic Acids Research	10.1093/nar/28.1.352	PMID:10592272	dbSNP Build reference anchoring	Verified DOI and PMID
gazal_baselineld_2017	Gazal	2017	Linkage disequilibrium-dependent architecture of human complex traits shows action of negative selection	Nature Genetics	10.1038/ng.3954	PMID:29083406	baselineLD and LD-dependent architecture context	DOI/PMID known
gazal_functional_2018	Gazal	2018	Functional architecture of low-frequency variants highlights strength of negative selection across coding and non-coding annotations	Nature Genetics	10.1038/s41588-018-0231-8	PMID:30297969	Functional annotation and selection context	DOI/PMID known
buenrostro_2013	Buenrostro	2013	Transposition of native chromatin for fast and sensitive epigenomic profiling of open chromatin, DNA-binding proteins and nucleosome position	Nature Methods	10.1038/nmeth.2688	PMID:24097267	Chromatin accessibility method background	DOI/PMID known
gtex_2020	GTEx Consortium	2020	The GTEx Consortium atlas of genetic regulatory effects across human tissues	Science	10.1126/science.aaz1776	PMID:32913098	Human regulatory variation context	DOI/PMID known
alasoo_2018	Alasoo	2018	Shared genetic effects on chromatin and gene expression indicate a role for enhancer priming in immune response	Nature Genetics	10.1038/s41588-018-0046-7	PMID:29379200	Molecular QTL/regulatory effect context	DOI/PMID known
