analysis	endpoint	annotation	case_snp_n	background_snp_n	case_top_n	background_top_n	case_top_fraction	background_top_fraction	odds_ratio	p_value	case_mean	background_mean	case_median	background_median	mean_difference	mannwhitney_u	observed_mean_difference	empirical_p_value	permutation_snp_n	permutation_case_snp_n	permutation_background_snp_n	n_permutations	random_seed	strata	conditional_odds_ratio	or_ci95_low	or_ci95_high	log_odds_ratio	SE_log_odds_ratio	risk_difference	risk_difference_ci95_low	risk_difference_ci95_high	risk_ratio	risk_ratio_ci95_low	risk_ratio_ci95_high	ci_method	sensitivity	mean_difference_ci95_low	mean_difference_ci95_high	power	alpha	case_N	comparator_N	comparator_event_rate	minimum_detectable_case_event_rate	detectable_absolute_risk_difference	minimum_detectable_OR	method
DAR_vs_matched_non_DAR_retinal_OCR	top_5pct_chi2_het	dar_global	1232.0	379279.0	71.0	19653.0	0.0576298701298701	0.0518167364921337	1.1190470774746328	0.3669847765461345																																						
DAR_vs_matched_non_DAR_retinal_OCR	top_1pct_chi2_het	dar_global	1232.0	379279.0	13.0	3947.0	0.010551948051948	0.0104065872352542	1.014117117433558	0.887991897327201																																						
DAR_vs_matched_non_DAR_retinal_OCR	top_10pct_chi2_het	dar_global	1232.0	379279.0	132.0	38917.0	0.1071428571428571	0.1026078427753711	1.049501246242002	0.6048743826521923																																						
DAR_vs_matched_non_DAR_retinal_OCR	chi2_het_continuous	dar_global	1232.0	379279.0						0.7106956687304247	1.22805554455557	1.1929336710035907	0.5587905718747166	0.5299873839554562	0.0351218735519793	235063643.0																																
DAR_vs_matched_non_DAR_retinal_OCR	matched_permutation_mean_chi2_het_difference	dar_global	1232.0	379279.0													0.064734452079455	0.3336663336663337	60284.0	1069.0	59215.0	1000.0	20260912.0	chromosome|average_EUR_EAS_MAF_decile|absolute_EUR_EAS_MAF_difference_quintile|baseline_ld_score_decile|retinal_OCR_status																								
primary_effect_precision			1232.0	379279.0	71.0	19653.0	0.0576298701298701	0.0518167364921337	1.1190470774746328	0.3669847765461345															1.1190467296239186	0.86749624790697	1.4233866954907068	0.1124774994677344	0.1224724335041541	0.0058131336377363	-0.007219208523681	0.0188454757991537	1.112186409860429	0.8870185862981161	1.3945126171939126	conditional_exact_OR_CI_scipy_and_large_sample_RD_RR_CI												
LD_PRUNED_DAR_vs_matched_non_DAR_retinal_OCR	top_5pct_chi2_het		9.0	3262.0	2.0	139.0	0.2222222222222222	0.042611894543225	6.419321685508736	0.054440246754478															6.410760389221845	0.6441576334257859	34.084227056828084										r2_lt_0p1											
LD_PRUNED_DAR_vs_matched_non_DAR_retinal_OCR	top_1pct_chi2_het		9.0	3262.0	0.0	21.0	0.0	0.0064377682403433	0.0	1.0															0.0	0.0	83.58073670997923										r2_lt_0p1											
LD_PRUNED_DAR_vs_matched_non_DAR_retinal_OCR	top_10pct_chi2_het		9.0	3262.0	2.0	281.0	0.2222222222222222	0.0861434702636419	3.0310116929334012	0.1794215319414633															3.029415375002057	0.3056752219478666	16.01165284212499										r2_lt_0p1											
LD_PRUNED_DAR_vs_matched_non_DAR_retinal_OCR	chi2_het_continuous									0.9835037311410468	1.5973193066789166	1.0804772737324768	0.2553168613795777	0.4505246512656049	0.5168420329464398	14738.0																					r2_lt_0p1	-1.024984789447432	2.0586688553403114									
LD_PRUNED_DAR_vs_matched_non_DAR_retinal_OCR	top_5pct_chi2_het		1.0	76.0	0.0	2.0	0.0	0.0263157894736842	0.0	1.0															0.0	0.0	1462.5000000000005										r2_lt_0p01											
LD_PRUNED_DAR_vs_matched_non_DAR_retinal_OCR	top_1pct_chi2_het		1.0	76.0	0.0	1.0	0.0	0.0131578947368421	0.0	1.0															0.0	0.0	2964.000000000035										r2_lt_0p01											
LD_PRUNED_DAR_vs_matched_non_DAR_retinal_OCR	top_10pct_chi2_het		1.0	76.0	0.0	4.0	0.0	0.0526315789473684	0.0	1.0															0.0	0.0	711.7499999999934										r2_lt_0p01											
LD_PRUNED_DAR_vs_matched_non_DAR_retinal_OCR	chi2_het_continuous									0.6493506493506495	0.2553168613795777	0.9452352093374352	0.2553168613795777	0.4486998152378942	-0.6899183479578574	24.0																					r2_lt_0p01											
power_MDE																																								0.8	0.05	1232.0	379279.0	0.0518167364921337	0.0709501896914169	0.0191334531992831	1.3974516484148798	prospective_two_sample_proportion_normal_approximation
power_MDE																																								0.9	0.05	1232.0	379279.0	0.0518167364921337	0.0742070749349133	0.0223903384427795	1.466741850549181	prospective_two_sample_proportion_normal_approximation
