resource	group	ethnicity	n_anchored_gwas_variants	n_intervals_input	n_intervals_mapped	n_intervals_merged	n_overlapping_variants	variant_overlap_rate	usable_snp_status
HRCA_ANCESTRY_DAR	Amacrine	African	3261022	24	24	24	8	0.00000245	SPARSE
HRCA_ANCESTRY_DAR	Bipolar	Admixed American	3261022	7	7	7	5	0.00000153	SPARSE
HRCA_ANCESTRY_DAR	Bipolar	African	3261022	11	11	11	4	0.00000123	SPARSE
HRCA_ANCESTRY_DAR	Bipolar	East Asian	3261022	1	1	1	2	0.00000061	SPARSE
HRCA_ANCESTRY_DAR	Cone	Admixed American	3261022	237	237	237	124	0.00003802	SPARSE
HRCA_ANCESTRY_DAR	Cone	African	3261022	339	338	338	297	0.00009108	SPARSE
HRCA_ANCESTRY_DAR	Horizontal	Admixed American	3261022	887	884	884	517	0.00015854	SPARSE
HRCA_ANCESTRY_DAR	Horizontal	African	3261022	112	112	112	65	0.00001993	SPARSE
HRCA_ANCESTRY_DAR	Horizontal	East Asian	3261022	3	3	3	3	0.00000092	SPARSE
HRCA_ANCESTRY_DAR	Muller_glia	Admixed American	3261022	211	208	208	124	0.00003802	SPARSE
HRCA_ANCESTRY_DAR	Muller_glia	African	3261022	12	12	12	3	0.00000092	SPARSE
HRCA_ANCESTRY_DAR	Muller_glia	East Asian	3261022	23	23	23	20	0.00000613	SPARSE
HRCA_ANCESTRY_DAR	RGC	African	3261022	7	7	7	1	0.00000031	SPARSE
HRCA_ANCESTRY_DAR	RGC	East Asian	3261022	328	328	328	177	0.00005428	SPARSE
HRCA_ANCESTRY_DAR	Rod	Admixed American	3261022	4	4	4	2	0.00000061	SPARSE
HRCA_ANCESTRY_DAR	Rod	African	3261022	17	17	17	6	0.00000184	SPARSE
HRCA_ANCESTRY_DAR	Rod	East Asian	3261022	5	5	5	3	0.00000092	SPARSE
HRCA_ANCESTRY_DAR	ALL	ALL	3261022	2228	2221	2144	1324	0.00040601	CONDITIONAL
HRCA_ANCESTRY_DAR	ALL	Admixed American	3261022	1346	1340	1323	759	0.00023275	SPARSE
HRCA_ANCESTRY_DAR	ALL	African	3261022	522	521	470	365	0.00011193	SPARSE
HRCA_ANCESTRY_DAR	ALL	East Asian	3261022	360	360	357	204	0.00006256	SPARSE
HRCA_UNION_OCR	ALL	ALL	3261022	700146	699252	698059	399593	0.12253613	NOT_APPLICABLE
