annotation	chromosome	population_score	paired_panel_rows	expected_score_rows	score_filter	score_path	score_rows	expected_order_sha256	score_order_sha256	duplicate_snps	chr_mismatch	bp_mismatch	snp_id_mismatch	order_mismatch	EXACT_PANEL_MATCH	status
baseline	1	pop1	491084	455562	MAF_EAS>0.01_AND_MAF_EUR>0.01	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_scores_aligned/baseline_chr.1_pop1.gz	455562	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	0	0	0	0	0	True	PASS
baseline	1	pop2	491084	455562	MAF_EAS>0.01_AND_MAF_EUR>0.01	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_scores_aligned/baseline_chr.1_pop2.gz	455562	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	0	0	0	0	0	True	PASS
baseline	1	te	491084	455562	MAF_EAS>0.01_AND_MAF_EUR>0.01	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_scores_aligned/baseline_chr.1_te.gz	455562	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	0	0	0	0	0	True	PASS
weights	1	pop1	491084	455562	MAF_EAS>0.01_AND_MAF_EUR>0.01	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_scores/weights_chr.1_pop1.gz	455562	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	0	0	0	0	0	True	PASS
weights	1	pop2	491084	455562	MAF_EAS>0.01_AND_MAF_EUR>0.01	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_scores/weights_chr.1_pop2.gz	455562	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	0	0	0	0	0	True	PASS
weights	1	te	491084	455562	MAF_EAS>0.01_AND_MAF_EUR>0.01	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_scores/weights_chr.1_te.gz	455562	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	0	0	0	0	0	True	PASS
dar_global	1	pop1	491084	455562	MAF_EAS>0.01_AND_MAF_EUR>0.01	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_scores/dar_global_chr.1_pop1.gz	455562	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	0	0	0	0	0	True	PASS
dar_global	1	pop2	491084	455562	MAF_EAS>0.01_AND_MAF_EUR>0.01	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_scores/dar_global_chr.1_pop2.gz	455562	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	0	0	0	0	0	True	PASS
dar_global	1	te	491084	455562	MAF_EAS>0.01_AND_MAF_EUR>0.01	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_scores/dar_global_chr.1_te.gz	455562	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	0	0	0	0	0	True	PASS
ocr_union	1	pop1	491084	455562	MAF_EAS>0.01_AND_MAF_EUR>0.01	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_scores/ocr_union_chr.1_pop1.gz	455562	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	0	0	0	0	0	True	PASS
ocr_union	1	pop2	491084	455562	MAF_EAS>0.01_AND_MAF_EUR>0.01	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_scores/ocr_union_chr.1_pop2.gz	455562	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	0	0	0	0	0	True	PASS
ocr_union	1	te	491084	455562	MAF_EAS>0.01_AND_MAF_EUR>0.01	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_scores/ocr_union_chr.1_te.gz	455562	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	0	0	0	0	0	True	PASS
