metric_name	official_definition	estimate	SE	Z_or_test_statistic	test_statistic_definition	CI95_low	CI95_high	effective_SNP_N	number_blocks	convergence	warnings	software_version	input_freeze_id	population_1	population_2
TAU1	EAS heritability annotation coefficient	-3.8783145583920486e-08	5.0854207955808306e-08	-0.7626339518968139	estimate/SE	-1.3845739317730475e-07	6.089110200946379e-08	3112573	200	PASS	NONE	ab39882d692d9b0f528a0ea21103866dcd1dd2f8	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a	EAS	EUR
TAU2	EUR heritability annotation coefficient	-5.9416777276055655e-08	3.0150292928965434e-08	-1.97068656732598	estimate/SE	-1.185113514168279e-07	-3.2220313528340696e-10	3112573	200	PASS	NONE	ab39882d692d9b0f528a0ea21103866dcd1dd2f8	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a	EAS	EUR
THETA	trans-ancestry genetic covariance annotation coefficient	-9.652212895616685e-08	3.700372275261543e-08	-2.6084437396057574	estimate/SE	-1.6904942555129311e-07	-2.3994832361040604e-08	3112573	200	PASS	NONE	ab39882d692d9b0f528a0ea21103866dcd1dd2f8	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a	EAS	EUR
HSQ1	EAS stratified heritability	0.4942643977082528	0.0331367103074015	14.915916309225562	estimate/SE	0.4293164455057459	0.5592123499107597	3112573	200	PASS	NONE	ab39882d692d9b0f528a0ea21103866dcd1dd2f8	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a	EAS	EUR
HSQ2	EUR stratified heritability	0.3788002272521303	0.0198619849704412	19.071619871622325	estimate/SE	0.33987073671006557	0.41772971779419504	3112573	200	PASS	NONE	ab39882d692d9b0f528a0ea21103866dcd1dd2f8	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a	EAS	EUR
GCOV	stratified trans-ancestry genetic covariance	0.4354056295865452	0.0222461736952066	19.572158140631725	estimate/SE	0.3918031291439403	0.47900813002915016	3112573	200	PASS	NONE	ab39882d692d9b0f528a0ea21103866dcd1dd2f8	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a	EAS	EUR
GCOR	stratified trans-ancestry genetic correlation	1.0062578	0.0539309227510588	18.658271519751526	estimate/SE	0.9005531914079248	1.1119624085920752	3112573	200	PASS	NONE	ab39882d692d9b0f528a0ea21103866dcd1dd2f8	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a	EAS	EUR
GCORSQ	stratified squared trans-ancestry genetic correlation	1.00994483937748	0.1082755037285778	9.32754690210616	estimate/SE	0.7977248520694674	1.2221648266854923	3112573	200	PASS	NONE	ab39882d692d9b0f528a0ea21103866dcd1dd2f8	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a	EAS	EUR
HSQ1_ENRICHMENT	EAS heritability enrichment	1.0000041796554	4.094122109504397e-07	2442536.2822811673	estimate/SE	1.0000033772074666	1.0000049821033334	3112573	200	PASS	NONE	ab39882d692d9b0f528a0ea21103866dcd1dd2f8	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a	EAS	EUR
HSQ2_ENRICHMENT	EUR heritability enrichment	0.9999995688923672	5.337546131971259e-07	1873519.2992571811	estimate/SE	0.9999985227333253	1.0000006150514091	3112573	200	PASS	NONE	ab39882d692d9b0f528a0ea21103866dcd1dd2f8	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a	EAS	EUR
GCOV_ENRICHMENT	genetic covariance enrichment	0.9999963259449498	4.6255104399742e-07	2161915.6175778247	estimate/SE	0.9999954193449035	0.9999972325449961	3112573	200	PASS	NONE	ab39882d692d9b0f528a0ea21103866dcd1dd2f8	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a	EAS	EUR
GCORSQ_ENRICHMENT	squared genetic-correlation enrichment	1.0	0.0		UNDEFINED	1.0	1.0	3112573	200	PASS	NONE	ab39882d692d9b0f528a0ea21103866dcd1dd2f8	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a	EAS	EUR
GCOVSQ_DIFF	difference in squared genetic covariance	0.0	0.0		UNDEFINED	0.0	0.0	3112573	200	PASS	NONE	ab39882d692d9b0f528a0ea21103866dcd1dd2f8	SLDXR_FORMAL_INPUT_FREEZE_v1:6da435f42faa40f20ecf4b0b1e48d70782224704c86a829fe1e73c5269250b0a	EAS	EUR
