chromosome	panel_rows	annotation_rows	expected_score_rows	panel_duplicate_snps	annotation_duplicate_snps	missing_snps	chr_mismatch	bp_mismatch	snp_id_mismatch	order_mismatch	panel_order_sha256	annotation_order_sha256	expected_score_order_sha256	score_pop1_order_sha256	score_pop2_order_sha256	score_te_order_sha256	status
1	491084	491084	455562	0	0	0	0	0	0	0	fac08b68cc2f99b910e7df009a72d5854952977f7811c5e2674737c4126523bc	fac08b68cc2f99b910e7df009a72d5854952977f7811c5e2674737c4126523bc	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	78bdc43de3d14d06d9dd23a14f66e3c9aa72d21edb93b253434a9c31e8b8c151	PASS
2	520990	520990	483350	0	0	0	0	0	0	0	454a1e7269681120dd1c9c20dc008b29c305865dec43c0931732e11ad601cea2	454a1e7269681120dd1c9c20dc008b29c305865dec43c0931732e11ad601cea2	1cfa3640e71367a27af40b9aa130ed06ac5481c534607dfbe58bb2b03b12a0e1	1cfa3640e71367a27af40b9aa130ed06ac5481c534607dfbe58bb2b03b12a0e1	1cfa3640e71367a27af40b9aa130ed06ac5481c534607dfbe58bb2b03b12a0e1	1cfa3640e71367a27af40b9aa130ed06ac5481c534607dfbe58bb2b03b12a0e1	PASS
3	452821	452821	423587	0	0	0	0	0	0	0	69c7b5924c3a0333ed3374f3f2289a750535682a9a574ae9b8d24612c3e494fe	69c7b5924c3a0333ed3374f3f2289a750535682a9a574ae9b8d24612c3e494fe	0704ecaa1a513d6e569b22169bba520e5376292d0d61beae6002019759d0f188	0704ecaa1a513d6e569b22169bba520e5376292d0d61beae6002019759d0f188	0704ecaa1a513d6e569b22169bba520e5376292d0d61beae6002019759d0f188	0704ecaa1a513d6e569b22169bba520e5376292d0d61beae6002019759d0f188	PASS
4	467274	467274	434675	0	0	0	0	0	0	0	126c8b4ac04f11207024f059932004ccb1d13d7b5140bf694ef6071f26051819	126c8b4ac04f11207024f059932004ccb1d13d7b5140bf694ef6071f26051819	b4fb6a1b66d958a43dfa2909c77c46ff5263546664bfc16860b9d167cd2bc4cf	b4fb6a1b66d958a43dfa2909c77c46ff5263546664bfc16860b9d167cd2bc4cf	b4fb6a1b66d958a43dfa2909c77c46ff5263546664bfc16860b9d167cd2bc4cf	b4fb6a1b66d958a43dfa2909c77c46ff5263546664bfc16860b9d167cd2bc4cf	PASS
5	392944	392944	366982	0	0	0	0	0	0	0	84ff5b6fbdfdb5ee75abc7cb9294cefbd8ebc2093075b031d354e705bb7e488f	84ff5b6fbdfdb5ee75abc7cb9294cefbd8ebc2093075b031d354e705bb7e488f	5a49e6bd9bea60baa17fde33d8730c01dfa5c1022a1aeabdfc61ac19614ddad0	5a49e6bd9bea60baa17fde33d8730c01dfa5c1022a1aeabdfc61ac19614ddad0	5a49e6bd9bea60baa17fde33d8730c01dfa5c1022a1aeabdfc61ac19614ddad0	5a49e6bd9bea60baa17fde33d8730c01dfa5c1022a1aeabdfc61ac19614ddad0	PASS
6	432823	432823	401686	0	0	0	0	0	0	0	e8b64b6d0633ddceb0ee5cf9d1b914f865e84660f8f1b2d73b00138cfbf63156	e8b64b6d0633ddceb0ee5cf9d1b914f865e84660f8f1b2d73b00138cfbf63156	afa4b5426c6238120ab97eb0bfd5da40d1a3a302186c2c1ddd4ce8b1d873abd8	afa4b5426c6238120ab97eb0bfd5da40d1a3a302186c2c1ddd4ce8b1d873abd8	afa4b5426c6238120ab97eb0bfd5da40d1a3a302186c2c1ddd4ce8b1d873abd8	afa4b5426c6238120ab97eb0bfd5da40d1a3a302186c2c1ddd4ce8b1d873abd8	PASS
7	376090	376090	351394	0	0	0	0	0	0	0	4cc1315c6f5f98a6ca42d12feeaaa477c0348ffed2677535914bf37350963b93	4cc1315c6f5f98a6ca42d12feeaaa477c0348ffed2677535914bf37350963b93	d6bb4f0d66088418293cfc14ce4fa3fdd60c25a98b5944b17d67bcf69b7f342a	d6bb4f0d66088418293cfc14ce4fa3fdd60c25a98b5944b17d67bcf69b7f342a	d6bb4f0d66088418293cfc14ce4fa3fdd60c25a98b5944b17d67bcf69b7f342a	d6bb4f0d66088418293cfc14ce4fa3fdd60c25a98b5944b17d67bcf69b7f342a	PASS
8	340742	340742	319865	0	0	0	0	0	0	0	3b00ec9bc265abedced9d7dd297fd6710ddfefe7cf8a20dd509f98e33da9026e	3b00ec9bc265abedced9d7dd297fd6710ddfefe7cf8a20dd509f98e33da9026e	0b9a06702e29a3aadf5a2b270f3d2c2015662b7ed49ada142f513d3e4c5ee231	0b9a06702e29a3aadf5a2b270f3d2c2015662b7ed49ada142f513d3e4c5ee231	0b9a06702e29a3aadf5a2b270f3d2c2015662b7ed49ada142f513d3e4c5ee231	0b9a06702e29a3aadf5a2b270f3d2c2015662b7ed49ada142f513d3e4c5ee231	PASS
9	276683	276683	255990	0	0	0	0	0	0	0	0e7653fa75828bfa0a5c758cf4bead28a6ae0ef11dbd5678cfccc5d1002b8755	0e7653fa75828bfa0a5c758cf4bead28a6ae0ef11dbd5678cfccc5d1002b8755	d7619a9da953e73c334fa303f9ff19a82e6a3fd03e2fecc159d22fa2fa6e49c9	d7619a9da953e73c334fa303f9ff19a82e6a3fd03e2fecc159d22fa2fa6e49c9	d7619a9da953e73c334fa303f9ff19a82e6a3fd03e2fecc159d22fa2fa6e49c9	d7619a9da953e73c334fa303f9ff19a82e6a3fd03e2fecc159d22fa2fa6e49c9	PASS
10	321568	321568	299593	0	0	0	0	0	0	0	94a8af200a3808725eb4b44ea615c174d3271b99503e6cf9f2e8db139901753a	94a8af200a3808725eb4b44ea615c174d3271b99503e6cf9f2e8db139901753a	49a3bc557b43f3c1baeadc2355cf25babf482bba5025e930c92358d31e47bec7	49a3bc557b43f3c1baeadc2355cf25babf482bba5025e930c92358d31e47bec7	49a3bc557b43f3c1baeadc2355cf25babf482bba5025e930c92358d31e47bec7	49a3bc557b43f3c1baeadc2355cf25babf482bba5025e930c92358d31e47bec7	PASS
