dataset	assembly	chromosome	n_informative	exact_position_match	chr_pos_concordance	allele_compatible_n	allele_compatible_concordance
EUR	GRCh37	1	5669	5669	1.0	5669	1.0
EUR	GRCh37	2	5700	5700	1.0	5700	1.0
EUR	GRCh37	3	5687	5687	1.0	5687	1.0
EUR	GRCh37	4	5726	5726	1.0	5726	1.0
EUR	GRCh37	5	5711	5711	1.0	5711	1.0
EUR	GRCh37	6	5754	5754	1.0	5754	1.0
EUR	GRCh37	7	5593	5593	1.0	5593	1.0
EUR	GRCh37	8	5564	5564	1.0	5564	1.0
EUR	GRCh37	9	5569	5569	1.0	5569	1.0
EUR	GRCh37	10	5605	5605	1.0	5605	1.0
EUR	GRCh37	11	5619	5619	1.0	5619	1.0
EUR	GRCh37	12	5726	5726	1.0	5726	1.0
EUR	GRCh37	13	5710	5710	1.0	5710	1.0
EUR	GRCh37	14	5692	5692	1.0	5692	1.0
EUR	GRCh37	15	5676	5676	1.0	5676	1.0
EUR	GRCh37	16	5411	5411	1.0	5411	1.0
EUR	GRCh37	17	5659	5659	1.0	5659	1.0
EUR	GRCh37	18	5717	5717	1.0	5717	1.0
EUR	GRCh37	19	5505	5505	1.0	5505	1.0
EUR	GRCh37	20	5627	5627	1.0	5627	1.0
EUR	GRCh37	21	5649	5649	1.0	5649	1.0
EUR	GRCh37	22	5602	5602	1.0	5602	1.0
EUR	GRCh38	1	5669	0	0.0	5669	1.0
EUR	GRCh38	2	5700	27	0.004736842105263158	5700	1.0
EUR	GRCh38	3	5687	0	0.0	5687	1.0
EUR	GRCh38	4	5726	0	0.0	5726	1.0
EUR	GRCh38	5	5711	0	0.0	5711	1.0
EUR	GRCh38	6	5754	22	0.0038234271810914148	5754	1.0
EUR	GRCh38	7	5593	6	0.001072769533345253	5593	1.0
EUR	GRCh38	8	5564	0	0.0	5564	1.0
EUR	GRCh38	9	5569	747	0.13413539235051175	5569	1.0
EUR	GRCh38	10	5605	0	0.0	5605	1.0
EUR	GRCh38	11	5619	33	0.0058729311265349705	5619	1.0
EUR	GRCh38	12	5726	0	0.0	5726	1.0
EUR	GRCh38	13	5710	0	0.0	5710	1.0
EUR	GRCh38	14	5692	0	0.0	5692	1.0
EUR	GRCh38	15	5676	0	0.0	5676	1.0
EUR	GRCh38	16	5411	0	0.0	5411	1.0
EUR	GRCh38	17	5659	0	0.0	5659	1.0
EUR	GRCh38	18	5717	188	0.03288437991953822	5717	1.0
EUR	GRCh38	19	5505	104	0.018891916439600365	5505	1.0
EUR	GRCh38	20	5627	0	0.0	5627	1.0
EUR	GRCh38	21	5649	0	0.0	5649	1.0
EUR	GRCh38	22	5602	0	0.0	5602	1.0
EAS	GRCh37	1	5670	5670	1.0	5670	1.0
EAS	GRCh37	2	5622	5622	1.0	5622	1.0
EAS	GRCh37	3	5663	5663	1.0	5663	1.0
EAS	GRCh37	4	5581	5581	1.0	5581	1.0
EAS	GRCh37	5	5659	5659	1.0	5659	1.0
EAS	GRCh37	6	5663	5663	1.0	5663	1.0
EAS	GRCh37	7	5568	5568	1.0	5568	1.0
EAS	GRCh37	8	5468	5468	1.0	5468	1.0
EAS	GRCh37	9	5623	5623	1.0	5623	1.0
EAS	GRCh37	10	5610	5610	1.0	5610	1.0
EAS	GRCh37	11	5613	5613	1.0	5613	1.0
EAS	GRCh37	12	5636	5636	1.0	5636	1.0
EAS	GRCh37	13	5696	5696	1.0	5696	1.0
EAS	GRCh37	14	5625	5625	1.0	5625	1.0
EAS	GRCh37	15	5648	5648	1.0	5648	1.0
EAS	GRCh37	16	5387	5387	1.0	5387	1.0
EAS	GRCh37	17	5575	5575	1.0	5575	1.0
EAS	GRCh37	18	5688	5688	1.0	5688	1.0
EAS	GRCh37	19	5413	5413	1.0	5413	1.0
EAS	GRCh37	20	5649	5649	1.0	5649	1.0
EAS	GRCh37	21	5633	5633	1.0	5633	1.0
EAS	GRCh37	22	5598	5598	1.0	5598	1.0
EAS	GRCh38	1	5670	0	0.0	5670	1.0
EAS	GRCh38	2	5622	19	0.0033795802205620774	5622	1.0
EAS	GRCh38	3	5663	0	0.0	5663	1.0
EAS	GRCh38	4	5581	0	0.0	5581	1.0
EAS	GRCh38	5	5659	0	0.0	5659	1.0
EAS	GRCh38	6	5663	16	0.0028253575843192654	5663	1.0
EAS	GRCh38	7	5568	17	0.00305316091954023	5568	1.0
EAS	GRCh38	8	5468	0	0.0	5468	1.0
EAS	GRCh38	9	5623	782	0.1390716699270852	5623	1.0
EAS	GRCh38	10	5610	0	0.0	5610	1.0
EAS	GRCh38	11	5613	38	0.0067699982184215215	5613	1.0
EAS	GRCh38	12	5636	0	0.0	5636	1.0
EAS	GRCh38	13	5696	0	0.0	5696	1.0
EAS	GRCh38	14	5625	0	0.0	5625	1.0
EAS	GRCh38	15	5648	0	0.0	5648	1.0
EAS	GRCh38	16	5387	0	0.0	5387	1.0
EAS	GRCh38	17	5575	0	0.0	5575	1.0
EAS	GRCh38	18	5688	177	0.031118143459915613	5688	1.0
EAS	GRCh38	19	5413	106	0.019582486606318124	5413	1.0
EAS	GRCh38	20	5649	0	0.0	5649	1.0
EAS	GRCh38	21	5633	0	0.0	5633	1.0
EAS	GRCh38	22	5598	0	0.0	5598	1.0
AFR	GRCh37	1	5798	5798	1.0	5798	1.0
